question,answer 1,answer 2,answer 3,answer 4,answer 5
173,human written,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt
174,result from gpt-3.5-turbo on long prompt,result from gpt-3.5-turbo on short prompt,result from gpt-4-1106-preview on long prompt,result from gpt-4-1106-preview on short prompt,human written
175,result from gpt-4-1106-preview on long prompt,result from gpt-4-1106-preview on short prompt,result from gpt-3.5-turbo on short prompt,human written,result from gpt-3.5-turbo on long prompt
176,result from gpt-4-1106-preview on short prompt,human written,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on long prompt,result from gpt-3.5-turbo on short prompt
177,human written,result from gpt-4-1106-preview on short prompt,result from gpt-3.5-turbo on short prompt,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on long prompt
178,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt,result from gpt-3.5-turbo on short prompt,human written,result from gpt-4-1106-preview on long prompt
179,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt,human written,result from gpt-4-1106-preview on short prompt
180,result from gpt-4-1106-preview on long prompt,result from gpt-4-1106-preview on short prompt,result from gpt-3.5-turbo on short prompt,human written,result from gpt-3.5-turbo on long prompt
181,human written,result from gpt-3.5-turbo on long prompt,result from gpt-3.5-turbo on short prompt,result from gpt-4-1106-preview on long prompt,result from gpt-4-1106-preview on short prompt
182,result from gpt-4-1106-preview on short prompt,result from gpt-3.5-turbo on short prompt,human written,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on long prompt
183,result from gpt-3.5-turbo on short prompt,result from gpt-4-1106-preview on long prompt,human written,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt
184,result from gpt-4-1106-preview on long prompt,result from gpt-4-1106-preview on short prompt,human written,result from gpt-3.5-turbo on short prompt,result from gpt-3.5-turbo on long prompt
185,result from gpt-4-1106-preview on short prompt,result from gpt-3.5-turbo on short prompt,human written,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on long prompt
186,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt,human written,result from gpt-3.5-turbo on short prompt,result from gpt-4-1106-preview on long prompt
187,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt,human written,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt
188,result from gpt-4-1106-preview on short prompt,human written,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on long prompt,result from gpt-3.5-turbo on short prompt
189,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt,human written
190,result from gpt-4-1106-preview on short prompt,result from gpt-4-1106-preview on long prompt,human written,result from gpt-3.5-turbo on long prompt,result from gpt-3.5-turbo on short prompt
191,result from gpt-4-1106-preview on short prompt,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt,result from gpt-3.5-turbo on long prompt,human written
192,result from gpt-3.5-turbo on short prompt,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt,human written
193,result from gpt-3.5-turbo on short prompt,result from gpt-4-1106-preview on short prompt,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on long prompt,human written
194,human written,result from gpt-4-1106-preview on short prompt,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt
195,result from gpt-3.5-turbo on short prompt,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt,human written,result from gpt-4-1106-preview on long prompt
196,result from gpt-4-1106-preview on short prompt,result from gpt-3.5-turbo on short prompt,human written,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on long prompt
197,human written,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt,result from gpt-4-1106-preview on short prompt
198,human written,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt
199,result from gpt-3.5-turbo on short prompt,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt,result from gpt-4-1106-preview on long prompt,human written
200,result from gpt-3.5-turbo on short prompt,result from gpt-4-1106-preview on short prompt,result from gpt-4-1106-preview on long prompt,human written,result from gpt-3.5-turbo on long prompt
201,human written,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt
202,result from gpt-4-1106-preview on long prompt,result from gpt-4-1106-preview on short prompt,result from gpt-3.5-turbo on long prompt,human written,result from gpt-3.5-turbo on short prompt
203,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt,human written,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt
204,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt,result from gpt-4-1106-preview on long prompt,result from gpt-3.5-turbo on short prompt,human written
205,result from gpt-3.5-turbo on short prompt,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt,result from gpt-4-1106-preview on long prompt,human written
206,result from gpt-3.5-turbo on short prompt,result from gpt-4-1106-preview on long prompt,human written,result from gpt-3.5-turbo on long prompt,result from gpt-4-1106-preview on short prompt
207,result from gpt-3.5-turbo on long prompt,result from gpt-3.5-turbo on short prompt,human written,result from gpt-4-1106-preview on long prompt,result from gpt-4-1106-preview on short prompt
